句式,领域,样本数,准确率,Macro-F1,负面召回,正面召回
双重否定,出行旅游,40,1.0,1.0,1.0,1.0
双重否定,生活服务,40,1.0,1.0,1.0,1.0
双重否定,影视娱乐,40,0.975,0.9749843652282677,0.95,1.0
双重否定,购物消费,40,0.975,0.9749843652282677,1.0,0.95
双重否定,美食餐饮,40,0.95,0.949874686716792,1.0,0.9
双重否定,日常社交,40,0.9,0.898989898989899,1.0,0.8
反讽,购物消费,40,1.0,1.0,1.0,1.0
反讽,出行旅游,40,0.95,0.9019607843137255,0.9705882352941176,0.8333333333333334
反讽,日常社交,40,0.925,0.841897233201581,0.9428571428571428,0.8
反讽,生活服务,40,0.9,0.803921568627451,0.9142857142857143,0.8
反讽,美食餐饮,39,0.9230769230769231,0.7645875251509053,1.0,0.4
反讽,影视娱乐,40,0.85,0.5833333333333333,0.9705882352941176,0.16666666666666666
简单句,影视娱乐,40,1.0,1.0,1.0,1.0
简单句,美食餐饮,40,1.0,1.0,1.0,1.0
简单句,购物消费,40,1.0,1.0,1.0,1.0
简单句,出行旅游,40,0.975,0.9749843652282677,1.0,0.95
简单句,生活服务,40,0.95,0.95,0.95,0.95
简单句,日常社交,40,0.925,0.9249530956848031,0.95,0.9
转折,出行旅游,40,1.0,1.0,1.0,1.0
转折,影视娱乐,40,1.0,1.0,1.0,1.0
转折,生活服务,40,1.0,1.0,1.0,1.0
转折,美食餐饮,40,1.0,1.0,1.0,1.0
转折,购物消费,41,1.0,1.0,1.0,1.0
转折,日常社交,40,0.9,0.898989898989899,0.8,1.0
