句式,领域,样本数,准确率,Macro-F1,负面召回,正面召回
双重否定,生活服务,40,0.875,0.8742928975487115,0.95,0.8
双重否定,日常社交,40,0.85,0.849624060150376,0.9,0.8
双重否定,美食餐饮,40,0.85,0.849624060150376,0.9,0.8
双重否定,影视娱乐,40,0.825,0.8222222222222222,0.95,0.7
双重否定,购物消费,40,0.8,0.7994987468671679,0.85,0.75
双重否定,出行旅游,40,0.725,0.7163120567375887,0.55,0.9
反讽,购物消费,40,0.85,0.6571428571428571,0.9142857142857143,0.4
反讽,美食餐饮,39,0.6923076923076923,0.5282258064516129,0.7352941176470589,0.4
反讽,日常社交,40,0.725,0.49483352468427094,0.8,0.2
反讽,影视娱乐,40,0.6,0.375,0.7058823529411765,0.0
反讽,生活服务,40,0.575,0.36507936507936506,0.6571428571428571,0.0
反讽,出行旅游,40,0.375,0.34167215273206053,0.35294117647058826,0.5
简单句,影视娱乐,40,1.0,1.0,1.0,1.0
简单句,购物消费,40,1.0,1.0,1.0,1.0
简单句,出行旅游,40,0.975,0.9749843652282677,1.0,0.95
简单句,生活服务,40,0.95,0.95,0.95,0.95
简单句,日常社交,40,0.875,0.8742928975487115,0.95,0.8
简单句,美食餐饮,40,0.875,0.873015873015873,1.0,0.75
转折,美食餐饮,40,0.975,0.9749843652282677,1.0,0.95
转折,日常社交,40,0.95,0.949874686716792,1.0,0.9
转折,影视娱乐,40,0.925,0.9249530956848031,0.95,0.9
转折,购物消费,41,0.9024390243902439,0.9019138755980861,1.0,0.8095238095238095
转折,出行旅游,40,0.775,0.7630019749835418,1.0,0.55
转折,生活服务,40,0.725,0.7163120567375887,0.9,0.55
